,X,Date,Year,Time,Location,Operator,Route,AC.Type,Manufacturer,Registration,cn.ln,Aboard,Aboard.Passangers,Aboard.Crew,Fatalities,Fatalities.Passangers,Fatalities.Crew,Ground,Summary,Coordinates,Latitude,Longitude,Country,Country coordinates,Location_Status
1,1,09/17/1908,1908,17:18,"Fort Myer, Virginia",Military - U.S. Army,Demonstration,Wright Flyer III,Other,,1,2.0,1.0,1.0,1,1.0,0.0,0.0,"During a demonstration flight, a U.S. Army flyer flown by Orville Wright nose-dived into the ground from a height of approximately 75 feet, killing Lt. Thomas E. Selfridge, 26, who was a passenger. This was the first recorded airplane fatality in history.  One of two propellers separated in flight, tearing loose the wires bracing the rudder and causing the loss of control of the aircraft.  Orville Wright suffered broken ribs, pelvis and a leg.  Selfridge suffered a crushed skull and died a short time later.","(38.878877, -77.068158)",38.878877,-77.068158,United States,United States,correct location
2,2,09/07/1909,1909,,"Juvisy-sur-Orge, France",,Air show,Wright Byplane,Other,SC1,,1.0,0.0,1.0,1,0.0,0.0,0.0,"Eugene Lefebvre was the first pilot to ever be killed in an air accident, after his controls jambed while flying in an air show.","(48.691161, 2.374077)",48.691161,2.374077,France,France,correct location
3,3,07/12/1912,1912,06:30,"Atlantic City, New Jersey",Military - U.S. Navy,Test flight,Dirigible,Other,,,5.0,0.0,5.0,5,0.0,5.0,0.0,"First U.S. dirigible Akron exploded just offshore at an altitude of 1,000 ft. during a test flight.","(39.377094, -74.451563)",39.377094,-74.451563,United States,United States,correct location
4,4,08/06/1913,1913,,"Victoria, British Columbia, Canada",Private,,Curtiss seaplane,Curtiss,,,1.0,0.0,1.0,1,0.0,1.0,0.0,"The first fatal airplane accident in Canada occurred when American barnstormer, John M. Bryant, California aviator was killed.","(22.381131, 114.135572)",22.381131,114.135572,Canada,China,not correct location
5,5,09/09/1913,1913,18:30,North Sea,Military - German Navy,,Zeppelin L-1 (airship),Zeppelin,,,20.0,,,14,,,0.0,The airship flew into a thunderstorm and encountered a severe downdraft crashing 20 miles north of Helgoland Island into the sea. The ship broke in two and the control car immediately sank drowning its occupants.,"(15.530675, 73.764707)",15.530675,73.764707,North Sea,India,not correct location
6,6,10/17/1913,1913,10:30,"Johannisthal, Germany",Military - German Navy,,Zeppelin L-2 (airship),Zeppelin,,,30.0,,,30,,,0.0,"Hydrogen gas which was being vented was sucked into the forward engine and ignited causing the airship to explode and burn at 3,000 ft..","(46.01139, 15.16722)",46.01139,15.16722,Germany,Slovenia,not correct location
7,7,03/05/1915,1915,01:00,"Tienen, Belgium",Military - German Navy,,Zeppelin L-8 (airship),Zeppelin,,,41.0,,,21,,,0.0,Crashed into trees while attempting to land after being shot down by British and French aircraft.,"(50.80931, 4.937385)",50.80931,4.937385,Belgium,Belgium,correct location
8,8,09/03/1915,1915,15:20,"Cuxhaven, Germany",Military - German Navy,,Zeppelin L-10 (airship),Zeppelin,,,19.0,,,19,,,0.0,"Exploded and burned near Neuwerk Island,  when hydrogen gas, being vented, was ignited by lightning.","(53.859527, 8.693474)",53.859527,8.693474,Germany,Germany,correct location
9,9,07/28/1916,1916,,"Jambol, Bulgeria",Military - German Army,,Schutte-Lanz S-L-10 (airship),Other,,,20.0,,,20,,,0.0,"Crashed near the Black Sea, cause unknown.","(42.48718, 26.492437)",42.48718,26.492437,Bulgaria,Bulgaria,correct location
10,10,09/24/1916,1916,01:00,"Billericay, England",Military - German Navy,,Zeppelin L-32 (airship),Zeppelin,,,22.0,,,22,,,0.0,Shot down by British aircraft crashing in flames.,"(51.621363, 0.414078)",51.621363,0.414078,United Kingdom,United Kingdom,correct location
